slug,distillery,name,image_url,
glenlivet-the-glenlivet-12-year-old,Glenlivet,The Glenlivet 12 Year Old,https://bcazowundzyzesxxddnr.supabase.co/storage/v1/object/public/bottles/expressions/glenlivet-18-standard.jpg,
glenlivet-the-glenlivet-15-year-old-french-oak-reserve,Glenlivet,The Glenlivet 15 Year Old French Oak Reserve,https://bcazowundzyzesxxddnr.supabase.co/storage/v1/object/public/bottles/expressions/glenlivet-18-standard.jpg,
glenlivet-the-glenlivet-18-year-old,Glenlivet,The Glenlivet 18 Year Old,https://bcazowundzyzesxxddnr.supabase.co/storage/v1/object/public/bottles/expressions/glenlivet-18-standard.jpg,
glenlivet-18-standard,Glenlivet,The Glenlivet 18 Year Old,https://bcazowundzyzesxxddnr.supabase.co/storage/v1/object/public/bottles/expressions/glenlivet-18-standard.jpg,
glenlivet-nadurra-ff-standard,Glenlivet,The Glenlivet Nadurra First Fill,https://bcazowundzyzesxxddnr.supabase.co/storage/v1/object/public/bottles/expressions/glenlivet-nadurra-ff-standard.jpg,
glenmorangie-lasanta-12,Glenmorangie,Glenmorangie Lasanta,https://bcazowundzyzesxxddnr.supabase.co/storage/v1/object/public/bottles/expressions/glenmorangie-the-lasanta-12-years-aged-in-bourbon-sherry-casks-5010494917840.jpg,
glenmorangie-glenmorangie-lasanta-12-year-old,Glenmorangie,Glenmorangie Lasanta 12 Year Old,https://bcazowundzyzesxxddnr.supabase.co/storage/v1/object/public/bottles/expressions/glenmorangie-the-lasanta-12-years-aged-in-bourbon-sherry-casks-5010494917840.jpg,
glenmorangie-glenmorangie-nectar-dor-12-year-old,Glenmorangie,Glenmorangie Nectar D'Or 12 Year Old,https://bcazowundzyzesxxddnr.supabase.co/storage/v1/object/public/bottles/expressions/glenmorangie-the-lasanta-12-years-aged-in-bourbon-sherry-casks-5010494917840.jpg,
glenmorangie-original-10,Glenmorangie,Glenmorangie Original 10,https://bcazowundzyzesxxddnr.supabase.co/storage/v1/object/public/bottles/expressions/glenmorangie-the-lasanta-12-years-aged-in-bourbon-sherry-casks-5010494917840.jpg,
glenmorangie-glenmorangie-original-10-year-old,Glenmorangie,Glenmorangie Original 10 Year Old,https://bcazowundzyzesxxddnr.supabase.co/storage/v1/object/public/bottles/expressions/glenmorangie-the-lasanta-12-years-aged-in-bourbon-sherry-casks-5010494917840.jpg,
